nodes	edges	pattern_desc	precision	recall	fscore	dir
\makecell{}	\makecell{A\_1}	\makecell{$A_1$.prov\_admissions\_admission\_\_type=EMERGENCY}	0.5	0.81	0.62	13\\
\makecell{$A_1$: PT \\ $A_2$: patients \\ $A_3$: patients\_admit\_info \\ $A_4$: admissions}	\makecell{($A_2$.subject\_id)=($A_1$.prov\_diagnoses\_subject\_\_id)\\($A_2$.subject\_id)=($A_3$.subject\_id)\\($A_4$.hadm\_id)=($A_3$.hadm\_id)}	\makecell{$A_1$.prov\_admissions\_admission\_\_type=EMERGENCY \\ $A_4$.admission\_type=EMERGENCY}	0.5	0.81	0.62	13\\
\makecell{$A_1$: PT \\ $A_2$: patients \\ $A_3$: procedures \\ $A_4$: admissions}	\makecell{($A_2$.subject\_id)=($A_1$.prov\_diagnoses\_subject\_\_id)\\($A_2$.subject\_id)=($A_3$.subject\_id)\\($A_4$.hadm\_id)=($A_3$.hadm\_id)}	\makecell{$A_1$.prov\_admissions\_admission\_\_type=EMERGENCY \\ $A_4$.admission\_type=EMERGENCY}	0.5	0.8	0.61	13\\
\makecell{$A_1$: PT \\ $A_2$: patients}	\makecell{($A_2$.subject\_id)=($A_1$.prov\_diagnoses\_subject\_\_id)}	\makecell{$A_1$.prov\_admissions\_admission\_\_type=EMERGENCY \\ $A_2$.expire\_flag=1}	0.63	0.59	0.61	2\\
\makecell{$A_1$: PT \\ $A_2$: patients \\ $A_3$: icustays \\ $A_4$: admissions}	\makecell{($A_2$.subject\_id)=($A_1$.prov\_diagnoses\_subject\_\_id)\\($A_2$.subject\_id)=($A_3$.subject\_id)\\($A_4$.hadm\_id)=($A_3$.hadm\_id)}	\makecell{$A_4$.insurance=Medicare}	0.54	0.67	0.6	13\\
\makecell{$A_1$: PT \\ $A_2$: patients \\ $A_3$: procedures \\ $A_4$: admissions}	\makecell{($A_2$.subject\_id)=($A_1$.prov\_diagnoses\_subject\_\_id)\\($A_2$.subject\_id)=($A_3$.subject\_id)\\($A_4$.hadm\_id)=($A_3$.hadm\_id)}	\makecell{$A_4$.insurance=Medicare}	0.54	0.66	0.59	13\\
\makecell{$A_1$: PT \\ $A_2$: patients \\ $A_3$: patients\_admit\_info \\ $A_4$: admissions}	\makecell{($A_2$.subject\_id)=($A_1$.prov\_diagnoses\_subject\_\_id)\\($A_2$.subject\_id)=($A_3$.subject\_id)\\($A_4$.hadm\_id)=($A_3$.hadm\_id)}	\makecell{$A_4$.hospital\_stay\_length>4.0 \\ $A_3$.language=ENGL}	0.54	0.63	0.58	13\\
\makecell{$A_1$: PT \\ $A_2$: patients \\ $A_3$: procedures \\ $A_4$: admissions}	\makecell{($A_2$.subject\_id)=($A_1$.prov\_diagnoses\_subject\_\_id)\\($A_2$.subject\_id)=($A_3$.subject\_id)\\($A_4$.hadm\_id)=($A_3$.hadm\_id)}	\makecell{$A_1$.prov\_admissions\_marital\_\_status=MARRIED \\ $A_4$.marital\_status=MARRIED}	0.59	0.57	0.58	2\\
\makecell{}	\makecell{A\_1}	\makecell{$A_1$.prov\_admissions\_marital\_\_status=MARRIED}	0.59	0.57	0.58	2\\
\makecell{$A_1$: PT \\ $A_2$: procedures \\ $A_3$: patients}	\makecell{($A_1$.prov\_admissions\_hadm\_\_id)=($A_2$.hadm\_id)\\($A_3$.subject\_id)=($A_2$.subject\_id)}	\makecell{$A_1$.prov\_admissions\_hospital\_\_stay\_\_length<21.0 \\ $A_3$.expire\_flag=0}	0.65	0.52	0.58	13\\
